competen;codufmun;cnes;tp_leito;DS_TP_LEITO;co_leito;DS_CO_LEITO;qt_exist;qt_contr;qt_sus;qt_nsus
202506;130330;2019604;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;4;0
202506;130330;2019604;2;CLINICO;33;CLINICA GERAL;9;0;9;0
202506;130330;2019604;4;OBSTERICO;43;OBSTETRICIA CLINICA;6;0;6;0
202506;130330;2019604;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;2;0;2;0
202506;130340;2016893;1;CIRURGICO;3;CIRURGIA GERAL;22;0;10;12
202506;130340;2016893;4;OBSTERICO;43;OBSTETRICIA CLINICA;20;0;20;0
202506;130340;2016893;2;CLINICO;41;NEONATOLOGIA;4;0;4;0
202506;130340;2016893;2;CLINICO;33;CLINICA GERAL;8;0;8;0
202506;130340;2016893;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;6;0;6;0
202506;130340;2016893;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;1;0;1;0
202506;130340;2016893;5;PEDIATRICO;45;PEDIATRIA CLINICA;1;0;1;0
202506;130340;3210243;3;COMPLEMENTAR;94;UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO;4;0;4;0
202506;130340;3210243;6;OUTRAS ESPECIALIDADES;47;PSIQUIATRIA;1;0;1;0
202506;130340;3210243;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;10;0;0;10
202506;130340;3210243;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;5;0;0;5
202506;130340;3210243;5;PEDIATRICO;45;PEDIATRIA CLINICA;11;0;11;0
202506;130340;3210243;1;CIRURGICO;3;CIRURGIA GERAL;12;0;12;0
202506;130340;3210243;1;CIRURGICO;6;GINECOLOGIA;5;0;5;0
202506;130340;3210243;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;12;0;12;0
202506;130340;3210243;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;10;0;10;0
202506;130340;3210243;4;OBSTERICO;43;OBSTETRICIA CLINICA;30;0;30;0
202506;130340;3210243;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;3;0;0;3
202506;130340;3210243;3;COMPLEMENTAR;65;UNIDADE INTERMEDIARIA NEONATAL;6;0;6;0
202506;130340;3210243;6;OUTRAS ESPECIALIDADES;34;CRONICOS;2;0;2;0
202506;130340;3210243;2;CLINICO;33;CLINICA GERAL;40;0;40;0
202506;130340;3210243;6;OUTRAS ESPECIALIDADES;48;REABILITACAO;2;0;2;0
202506;130340;3210243;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;3;0;3;0
202506;130350;2018381;4;OBSTERICO;43;OBSTETRICIA CLINICA;6;0;6;0
202506;130350;2018381;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
